Estado de contrato;Poder adjudicador;Entidad impulsora;Código de contrato;Título;Tipo de contrato;Adjudicatario;Importe de adjudicación con IVA;Fecha de formalización
Ejecución;Gobierno Vasco;Seguridad;E0042/2016329_00000000000000000000001;MANTENIMIENTO FOTOCOPIADORAS PANASONIC.;Servicios;DOCUCONSULT, S.L.;7000;16/02/2016
Ejecución;Gobierno Vasco;Seguridad;E0038/2016329_00000000000000000000001;MANTENIMIENTO FOTOCOPIADORAS SAMSUNG Y SHARP.;Servicios;DIGISYSTEMS, S.L.;21780;16/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;P-014/16328_00000000000000000000001;Desmontaje de redes informáticas;Obras;UMI COMUNICACIONES 2003, S.L.;1549;16/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/007327_00000000000000000000001;Adquisición de diverso material de oficina;Suministros;E.DOMENECH MIRABET, S.A.;25321;16/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/007327_00000000000000000000002;Adquisición de diverso material de oficina;Suministros;MONTTE, S.L.;12746;16/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/007327_00000000000000000000003;Adquisición de diverso material de oficina;Suministros;OFFICE DEPOT, S.L.;14269;16/02/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-020-DEPS2016326_00000000000000000000001;EL ASESORAMIENTO, GESTIÓN Y APOYO EN CURSOS ON LINE SOBRE PARENTABILIDAD POSITIVA, QUE IMPARTE EL GOBIERNO VASCO DIRIGIDOS A PROFESIONALES EN CONTACTO CON FAMILIAS CON HIJOS E HIJAS EN EDADES COMPRENDIDAS ENTRE 0 Y 12 AÑOS;Servicios;AINHOA MANZANO FERNANDEZ;18150;16/02/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;1602041181_00000000000000000000001;Mantenimiento Librerias Backup;Servicios;COS MANTENIMIENTO, S. A.;21765;16/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;BIBLIOTEKA-2016-018328_00000000000000000000001;ADQUISIÓN DE LIBROS;Suministros;Import-Export ERSA, S.L.;118;16/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;SE/42/15328_00000000000000000000001;servicio de restaurante para los usuarios del Centro de Afianzamiento Idiomático de Alkiza;Servicios;MIGUEL JOSE SAIZAR AYERBE;80000;16/02/2016
Ejecución;Gobierno Vasco;Seguridad;E0037/2016329_00000000000000000000001;PRUEBAS DE ESFUERZO MÉDICO-DEPORTIVAS;Servicios;CENTRO MÉDICO BAILÉN, S.L.;9000;16/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;K-02/2016328_00000000000000000000001;Contratación de asesoramiento para la realización de los planes de gestión que se establezcan para 2016 en el marco de los planes de normalización del uso del euskera en los departamentos del Gobierno Vasco y sus organismos autónomos;Servicios;EMUN, S.COOP.;227999;16/02/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/037/2016323_00000000000000000000001;Diseño de una nueva versión móvil para IREKIA;Servicios;VUDUMEDIA, S.L.;19723;16/02/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-021-DEPS2016326_00000000000000000000001;LA SECRETARIA TÉCNICA PARA LA ORGANIZACIÓNDE UNAS JORNADAS SOBRE PATERNIDADES QUE TRANSFORMAN;Servicios;RITXAR BACETE GONZÁLEZ ;18997;16/02/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/038/2016323_00000000000000000000001;Estudio de indicadores de presencia internacional de Euskadi;Servicios;MKM INTERNACIONAL BUSINESS CONSULTING S.L.;15000;16/02/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/039/2016323_00000000000000000000001;Estudio telefónico sobre terrorismo internacional;Servicios;IKERFEL, S.A.;9999;16/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/041/aurrek327_00000000000000000000001;GASTRONOMÍA Y ENOTURISMO - FRANCÉS;Servicios;GRÁFICAS IRUDI, S.L.;2401;16/02/2016
Ejecución;ITELAZPI, S.A.;ITELAZPI, S.A.;013.ST.2015200_00000000000000000000001;Expte.: 013.ST.2015: Servicio de mantenimiento, soporte y certificación de la red DWDM de transporte de ITELAZPI.;Servicios;SISTEMAS INFORMATICOS ABIERTOS, S.A.;50796;16/02/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/040/2016323_00000000000000000000001;Elaboración de indicadores estratégicos socioeconómicos;Servicios;FUNDACIÓN DEUSTO-DEUSTU FUNDAZIOA;7623;16/02/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/041/2016323_00000000000000000000001;Proyecto de Estrategia RIS 3 Euskadi;Servicios;FUNDACIÓN DEUSTO-DEUSTU FUNDAZIOA;13310;16/02/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;044P/2016331_00000000000000000000001;DESARROLLO DE UNA PROPUESTA METODOLÓGICA PARA LA IDENTIFICACIÓN, REPRESENTACIÓN Y ESTABLECIMIENTO DE ORIENTACIONES PARA LA INFRAESTRUCTURA VERDE A ESCALA REGIONAL DE LA CAPV;Servicios;EKOLUR ASESORIA AMBIENTAL, S.L.L.;21720;16/02/2016
Ejecución;UPV/EHU - Universidad del País Vasco;Campus de Alava de la UPV/EHU ;97/15369_00000000000000000000001;Servicios de mantenimiento de los equipos científicos marca Waters del Departamento de Farmacia y Ciencia de los Alimentos.;Servicios;WATERS CROMATOGRAFÍA, S.A.;55356;15/02/2016
Ejecución;Gobierno Vasco;Emakunde-Instituto Vasco de la Mujer;03EMK/03S/2016336_00000000000000000000001;Planificación y compra de espacios publicitarios de la Campaña anual de sensibilización a favor de la igualdad de mujeres y hombres;Servicios;PUBLICIDAD HEDATU, S.L.U.;199650;15/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/059/AURREK327_00000000000000000000001;Publicación del manual del sistema de gestión de archivo;Servicios;UNZURRUNZAGA SCHMITZ MIREN;1646;15/02/2016
Ejecución;Gobierno Vasco;Emakunde-Instituto Vasco de la Mujer;CM 08/2016336_00000000000000000000001;CURSO BÁSICO 2016 DE FORMACIÓN ON-LINE A PROFESIONALES QUE ATIENDEN A VÍCTIMAS DE VIOLENCIA CONTRA LAS MUJERES. UNIDAD 3: DESIGUALDAD Y VIOLENCIA CONTRA LAS MUJERES. PROGRAMA JABETUZ;Servicios;MIREN MAITANE URBIERTA FERNANDEZ;5100;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;SU/24/15328_00000000000000000000001;Suministro, entrega e instalación de mobiliario no homologado para Centros públicos de Araba, Gipuzkoa y Bizkaia dependientes del Departamento de Educación, Política Lingüística y Cultura;Suministros;DIDÁCTICA, S.L.;29793;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;SU/24/15328_00000000000000000000002;Suministro, entrega e instalación de mobiliario no homologado para Centros públicos de Araba, Gipuzkoa y Bizkaia dependientes del Departamento de Educación, Política Lingüística y Cultura;Suministros;EREDU, S. COOP.;314189;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;SU/24/15328_00000000000000000000003;Suministro, entrega e instalación de mobiliario no homologado para Centros públicos de Araba, Gipuzkoa y Bizkaia dependientes del Departamento de Educación, Política Lingüística y Cultura;Suministros;MONTTE, S.L.;160058;15/02/2016
Ejecución;Gobierno Vasco;Academia Vasca de Policía y Emergencias;110/16334_00000000000000000000001;MANTENIMIENTO SISTEMA GESTION ACADEMICA;Servicios;SOPRA GROUP INFORMATICA SA;20000;15/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/036/AURREK327_00000000000000000000001;MAPA COSTA VASCA - CASTELLANO, FRANCÉS, INGLÉS, EUSKERA Y CATALÁN;Servicios;GRÁFICAS IRUDI, S.L.;3336;15/02/2016
Ejecución;Gobierno Vasco;Academia Vasca de Policía y Emergencias;52/16334_00000000000000000000001;MANTENIMIENTO CAMPOS DE TIRO;Servicios;G.T.S. ELECTRÓNICA, S.L.;16000;15/02/2016
Ejecución;Gobierno Vasco;Emakunde-Instituto Vasco de la Mujer;CM 09/2016336_00000000000000000000001;CURSO BÁSICO 2016 DE FORMACIÓN ON-LINE A PROFESIONALES QUE ATIENDEN A VÍCTIMAS DE VIOLENCIA CONTRA LAS MUJERES. UNIDAD 6: PROMOCIÓN Y APOYO AL EMPODERAMIENTO PERSONAL DE LAS MUJERES COMO PARTE DE LA INTERVENCIÓN PROFESIONAL. PROGRAMA JABETUZ;Servicios;SARA IBARROLA INCHUSTA;5100;15/02/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;096/2015181_00000000000000000000001;Contratación de un Servicio de Desarrollo e Implantación del Nuevo Sistema de Gestión para Voluntades Anticipadas 2015. EXPEDIENTE PREPARADO EXCLUSIVAMENTE PARA LICITACIÓN ELECTRÓNICA.;Servicios;ODEI, S.A.;152460;15/02/2016
Ejecución;Gobierno Vasco;Desarrollo Económico y Competitividad;16/MENOR/PESCA/4325_00000000000000000000001;Inserción publicidad y difusión de noticias que afectan al sector pesquero vasco en la revista Europa Azul;Servicios;EUROPA AZUL, S.L.;6050;15/02/2016
Ejecución;Gobierno Vasco;Emakunde-Instituto Vasco de la Mujer;CM 05/2016336_00000000000000000000001;CURSO BÁSICO 2016 DE FORMACIÓN ON-LINE A PROFESIONALES QUE ATIENDEN A VÍCTIMAS DE VIOLENCIA CONTRA LAS MUJERES. UNIDAD 4: MARCO NORMATIVO EN MATERIA DE VIOLENCIA CONTRA LAS MUJERES. PROGRAMA JABETUZ;Servicios;MARÍA NAREDO MOLERO;5100;15/02/2016
Ejecución;Gobierno Vasco;Emakunde-Instituto Vasco de la Mujer;CM 06/2016336_00000000000000000000001;"CURSO BÁSICO 2016 DE FORMACIÓN ON-LINE A PROFESIONALES QUE ATIENDEN A VÍCTIMAS DE VIOLENCIA CONTRA LAS MUJERES. UNIDAD 1: EL HORIZONTE DE LA INTERVENCIÓN; UNIDAD 2: ACOGIDA. PROGRAMA JABETUZ";Servicios;SORTZEN CONSULTOÍA, S.L.;10200;15/02/2016
Ejecución;Gobierno Vasco;Emakunde-Instituto Vasco de la Mujer;CM 07/2016336_00000000000000000000001;CURSO BÁSICO 2016 DE FORMACIÓN ON-LINE A PROFESIONALES QUE ATIENDEN A VÍCTIMAS DE VIOLENCIA CONTRA LAS MUJERES. UNIDAD 5: TRATAMIENTO DE DATOS PERSONALES DE VÍCTIMAS DE VIOLENCIA CONTRA LAS MUJERES. PROGRAMA JABETUZ;Servicios;TICDATUM S.L. CONSULTORÍA EN SEGURIDAD DE LA INFORMACIÓN Y PROTECCIÓN DE DATOS PERSONALES;3400;15/02/2016
Ejecución;Gobierno Vasco;Seguridad;S-006/2016329_00000000000000000000001;Renovación del soporte y mantenimiento de licencias del software ESRI;Suministros;ESRI ESPAÑA SOLUCIONES GEOESPACIALES, S.L.;44925;15/02/2016
Ejecución;Gobierno Vasco;Seguridad;S0035/2016329_00000000000000000000001;ADQUISICION DE ESPARCIDOR DE SAL;Suministros;D. JOSÉ MARÍA RUÍZ DE ARECHAVALETA (AGROMETÁLICAS ARECHA);8470;15/02/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;F-001-DEPS2016326_00000000000000000000001;SERVICIOS DE TRADUCCIÓN E INTERPRETACIÓN;Servicios;INSTITUTO VASCO DE ADMIMNISTRACIÓN PÚBLICA;7253;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;PREVENCION 2016/6328_00000000000000000000001;CURSOS DE HIGIENE POSTURAL;Servicios;ERGOACTIV SPORT, S.L.;8800;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;PREVENCION 2016/7328_00000000000000000000001;COMPRA 12 APARATOS DE MEGAFONÍA;Suministros;FONESTAR;2513;15/02/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/035/2016323_00000000000000000000001;Dinamización diálogo Jornada sobre Víctimas;Servicios;QUALITY AND ORGANIZATIONAL RESEARCH, S.L.;6353;15/02/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/034/2016323_00000000000000000000001;Diseño y gestión de Jornada sobre Víctimas;Servicios;DENOK KOMUNIKAZIOA, S.L.;12566;15/02/2016
Ejecución;UPV/EHU - Universidad del País Vasco;Gerencia ;P.N. 164/15367_00000000000000000000001;Servicios de asesoría para el desarrollo, coordinación e implantación de la nueva página corporativa de la UPV/EHU;Servicios;JOSÉ ANTONIO OLEAGA ;36300;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;K-05/2016328_00000000000000000000001;Servicio de información y comunicación en el ámbito de los teatros de la Comunidad Autónoma del País Vasco.;Servicios;IKERPARTNERS, S.L.;102161;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;DPC-39-16328_00000000000000000000001;ARCHIVO HISTÓRICO DE EUSKADI (AHE): CATALOGACIÓN DEL ARCHIVO DE LA CASA DE LARDIZABAL (1520-1920);Servicios;ROS LÓPEZ, LUIS JAVIER;21538;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;KS-2016-DAN/002328_00000000000000000000001;"Realización de diversos diseños e impresos para la difusión del programa ""Circuito de Danza"".";Servicios;YTANTOS GRAFF, S.L.;4982;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;KS-2016-ZUZ/005328_00000000000000000000001;Elaboración de las fitxas de subvenciones de la dirección de promoción de la cultura del portal EUSKADI.EUS;Servicios;MANUEL ANGEL GARCIA RODRIGUEZ;21175;15/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;IRALE-2016/otsaila-06328_00000000000000000000001;Conferencia impartida por Jose Antonio Azpiazu;Servicios;JOSE ANTONIO AZPIAZU;150;12/02/2016
Ejecución;Gobierno Vasco;EUSTAT - Instituto Vasco de Estadística;CM 08/2016335_00000000000000000000001;"Actualización y soporte técnico del Software de Backup ""Data Protector""";Suministros;HEWLETT PACKARD SERVICIOS ESPAÑA, S.L.;5990;12/02/2016
Ejecución;Gobierno Vasco;Seguridad;M-042/16329_00000000000000000000001;Mantenimiento de los radares costeros.;Servicios;QUALITAS INSTRUMENTS, S.A.;19118;12/02/2016
Ejecución;LANBIDE, Servicio Vasco de Empleo;Lanbide;IKUS-LAN/SR-3/2016250_00000000000000000000001;Colocación de estores para la oficina de Barakaldo Gurutzeta;Servicios;NOVADECO INTERIORES, S.L.;478;12/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;G-009/16328_00000000000000000000001;Ies Construcción Donostia Bhi (Donostia) - Estudio que determine y valores las deficiencias indicadas por la OCA en la instalación eléctrica BT así como el seguimiento de su correcta instalación;Servicios;LM 2000 INGENIEROS S.L.;3545;12/02/2016
Ejecución;Gobierno Vasco;Seguridad;T-044/16329_00000000000000000000001;9000 linternas para repartir en la edición de 2016 de la marcha cicloturista Bilbao-Bilbao;Suministros;ISAAC LASERNA REY;13547;12/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/037/AURREK327_00000000000000000000001;TARJETA DE ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD;Servicios;GRÁFICAS DOSBI;4950;12/02/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-019-DEPS2016326_00000000000000000000001;EL DERRIBO DEL INMUEBLE SITO EN EL BARRIO ITURRIGORRI, Nº 7 DE BILBAO,;Obras;O.C.M.A. S.L.,CONSTRUCCIONES Y CONTRATAS;56806;12/02/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;S-029-DAPJ-2015324_00000000000000000000001;Suministro de un procesador automático de tejidos cerrado para el laboratorio de anatomía patológica del Instituto vasco de Medicina Legal sito en Bilbao.;Suministros;"MEDICAL NORTE, S.A.
MEDICAL NORTE, S.A.";32065;12/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;S-003/16328_00000000000000000000001;Trabajos de reparaciones eléctricas;Obras;ELECTRICIDAD FEMAR, S.L.;538;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;T-043/16329_00000000000000000000001;"Diseño y maquetación del material ""programaciones para el profesorado de autoescuelas""";Servicios;MEDIAPRINT, S.L.;6448;11/02/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;M-053/2016 DAPJ324_00000000000000000000001;Instalación de equipos y accesorios de climatización en 6 despachos judiciales, en planta 2ª de P.J. Barakaldo;Servicios;Sertec, S.L.;21756;11/02/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;M-054/2016 DAPJ324_00000000000000000000001;Suministro de bolsas de evidencias para el I.V.M.L. en Bizkaia;Suministros;COPLASEM, S.L.;5478;11/02/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;1602023181_00000000000000000000001;Servicios de apoyo en la puesta en marcha de EIZU Sectorial en Educación (Primer semestre 2016);Servicios;EVERIS SPAIN, S.L.;51393;11/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;2016/001/002327_00000000000000000000001;AUDITORIA CUENTAS ANUALES 2015 FUNDACIÓN MUSEO DE PAZ DE GERNIKA;Servicios;A.B.M. AUDITORES Y CONSULTORES S.L.;9585;11/02/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;019P/2016331_00000000000000000000001;REVISIÓN DEL FONDEO DEL ARTZA EN EL PUERTO DE BERMEO;Obras;CIOMAR, S.L.;10016;11/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;P-005/16328_00000000000000000000001;Desmontaje y montaje de pizarra digital;Obras;ALAVESA DE TELECOMUNICACIONES Y ELECTRICIDAD, S.L.;798;11/02/2016
Ejecución;Gobierno Vasco;Academia Vasca de Policía y Emergencias;25/16334_00000000000000000000001;SERVICIO DE DESPLAZAMIENTOS Y ESTANCIAS;Servicios;VIAJES HALCOM, SA;20000;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;S0040/2016329_00000000000000000000001;ADQUISICIÓN BOQUILLAS ALCOTEST.;Suministros;DRÄGER SAFETY HISPANIA, S.A.;21776;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;S0037/2016329_00000000000000000000001;SUMINISTRO LÁMPARA ESCENA DEL CRIMEN.;Suministros;MIGERTRON SEGURIDAD, S. L.;13552;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;S0038/2016329_00000000000000000000001;ACCESORIOS ROBOT DESACTIVACIÓN.;Suministros;HISPARASA TRADING & TECHNOLOGIES, S.A.;4946;11/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;2016/001/003327_00000000000000000000001;AUDITORIA CUENTAS ANUALES 2015 FUNDACION INSTITUTO INTERNACIONAL DE SOCIOLOGIA JURIDICA OÑATI;Servicios;KPMG AUDITORES, S.L.;11374;11/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;DPC-31-16328_00000000000000000000001;ELABORACIÓN DEL MAPA DE PROCESOS PARA LA GESTIÓN DE eLIBURUTEGIA (eLiburugegia: plataforma de préstamo de libros digitales a través de Internet);Servicios;DOSDOCE DIGITAL CULTURE, S.L.;21768;11/02/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-018-DEPS2016326_00000000000000000000001;LA DIRECCIÓN DE URBANIZACIÓN DEL ENTORNO DE LAS PARCELAS 8 A 11 (ZONA ESTE), PERTENECIENTES AL PROYECTO DE URBANIZACIÓN DEL SECTOR SAGASTIYA DE HERNANI;Servicios;ZUBIONDO ARKITEKTOA EN/SLP;9257;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;S0041/2016329_00000000000000000000001;SUMINISTRO DE SELLOS Y FECHADORES.;Suministros;Begoña Gomez de Segura Ibisate - SNOBY;10000;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;E0033/2016329_00000000000000000000001;MANTENIMIENTO ROBOTS AUTOMATIZACIÓN PROCESOS ADN;Servicios;TECAN IB ERICA INSTRUMENTACION, S.L.;21779;11/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;A-020/14328_00000000000000000000001;Ies Los Herran Bhi (Vitoria-Gasteiz) - Proyecto de Ejecución, Dirección de Ejecución y Coordinación en materia de seguridad y salud para las obras de reforma de cubierta.;Servicios;JOSU MADINA SOLAEGUI;14520;11/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/038/AURREK327_00000000000000000000001;MANTENIMIENTO DE MÁQUINAS RX Y ARCOS DETECTORES L3 EN EDIFICIOS DE GESTIÓN CENTRALIZADA PARA EL AÑO 2016;Servicios;TARGET TECNOLOGIA, S.A.;8500;11/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/039/AURREK327_00000000000000000000001;SUSCRIPCIÓN AL GRUPO WOLTERS KLUWER PARA EL ACCESO A TRAVÉS DE INTERNET A LAS BASES DE DATOS GENERALES DE LA LEY DURANTE EL 2016;Servicios;WOLTERS KLUWER;12538;11/02/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;1602033181_00000000000000000000001;Licencia Corporativa Aranzadidigital;Servicios;EDITORIAL ARANZADI, S.A.;106378;11/02/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;035P/2016331_00000000000000000000001;REDACCIÓN DEL ESTUDIO AMBIENTAL ESTRATÉGICO O ISA DEL PLAN ESPECIAL DE ORDENACIÓN DEL PUERTO DE GETARIA;Servicios;SANTIAGO PEÑALBA GARMENDIA;12705;11/02/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;M-055/2016 DAPJ324_00000000000000000000001;Tratamiento de prevención y control de la legionelosis en la torre de refrigeración del grupo electrógeno, en el Palacio de justicia de Buenos Aires;Servicios;URIARTE-PAGALDAY S.L.;10914;11/02/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;M-056/2016 DAPJ324_00000000000000000000001;Suministro, montaje e instalación de señalética y rotulación diversa, en interior y exterios, en los Palacios de Justicia y Centros de Menores de la CAPV.;Suministros;ODEI INDUSTRIA SL;20000;11/02/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;M-057/2016 DAPJ324_00000000000000000000001;Supervisión de los equipos de vida cotidiana del Centro Educativo Ibaiondo;Servicios;APRENDIZA CONSULTORES S.L.;14968;11/02/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;041P/2016331_00000000000000000000001;IMPLANTACIÓN DE LOS PLANES INTERIORES DE EMERGENCIA Y PLANES INTERIORES MARÍTIMOS;Servicios;TEAM INGENIERÍA Y CONSULTORÍA, S.L.;21296;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;S0036/2016329_00000000000000000000001;SUMINISTRO DE BOTAS DE HIELO;Suministros;D. CARLOS EUSEBIO MARTÍN MIRANDA (IZARRAITZ MONTAÑA);10000;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;E0039/2016329_00000000000000000000001;MANTENIMIENTO DESTRUCTORAS HSM Y FAX OKI.;Servicios;DISEÑO INTERIORISMO INFORMÁTICA OFICINAS, S.A.;8000;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;S0042/2016329_00000000000000000000001;SUMINISTRO DE TALONARIOS.;Suministros;GRÁFICAS INDAUCHU, S.L.;8126;11/02/2016
Ejecución;Gobierno Vasco;Seguridad;S0039/2016329_00000000000000000000001;SUMINISTRO DE BOTELLAS DE AGUA.;Suministros;VINOS VILLAR, S.L.;11998;11/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;PREVENCION 2016/5328_00000000000000000000001;RECONOCIMIENTOS MEDICOS DEL APARATO FONADOR;Servicios;AUDIOMAZARREDO SL;7000;11/02/2016
Ejecución;Gobierno Vasco;Agencia Vasca del Agua;URA/009M/2016340_00000000000000000000001;SEGUIMIENTO DE LA CALIDAD DE LAS AGUAS SUBTERRÁNEAS AFECTADAS POR HIDROCARBUROS EN ARKAUTE (ALAVA);Servicios;Olatz Miranda;20389;11/02/2016
Ejecución;Gobierno Vasco;Agencia Vasca del Agua;URA/008M/2016340_00000000000000000000001;CARACTERIZACIÓN DE LOS SEDIMENTOS ACUMULADOS EN EL ENTORNO DEL PUENTE DE GOBEO;Servicios;GEYSER HPC, S.A.;4652;11/02/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;A-014/DEPS2015326_00000000000000000000001;la redacción del proyecto de ejecución de rehabilitacion  del antiguo asilo para alojamientos dotacionales en la calle Agirretar Txomin de Ondarroa , (Bizkaia);Servicios;UTE Iturriaga/Quintana;42350;11/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;DPC-36-16328_00000000000000000000001;CATALOGACIÓN DE LOS ARCHIVOS DIGITALES DE LA TERCERA GUERRA CARLISTA Y LA GUERRA CIVIL EN EUSKADI (1870-1940);Servicios;MARTÍNEZ MAKIBAR, BAKARNE;21175;11/02/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;2016/001/001327_00000000000000000000001;AUDITORIA CUENTAS ANUALES 2015 FUNDACIÓN GERNIKA GOGORATUZ;Servicios;KPMG AUDITORES, S.L.;8452;11/02/2016
Ejecución;Gobierno Vasco;Agencia Vasca del Agua;URA/014A/2015340_00000000000000000000001;Modificación e incorporación de la tubería de abastecimiento al proyecto constructivo del colector general de la margen izquierda de la ría de Mundaka, tramo Gernika-Busturia.;Servicios;FULCRUM, PLANIFICACIÓN, ANÁLISIS Y PROYECTO, S.A.;71390;11/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;TKNIKA-103328_00000000000000000000001;EQUIPOS PARA RED DE FIBRA;Suministros;LINEA 3000 S.L.;3742;11/02/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;025P/2016331_00000000000000000000001;MEJORA DE LAS INSTALACIONES ELÉCTRICAS DE LOS PUERTOS DE ORIO, DEBA Y MUTRIKU;Obras;INSTALACIONES ELÉCTRICAS SARASUA, S.L.;12100;10/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;G-034/15328_00000000000000000000001;Ies Lasarte-Usurbil Bhi (Lasarte-Oria) - Proyecto de Ejecución, trabajos complementarios y dirección facultativa para las obras de nuevo office y comedor;Servicios;José Erquicia Olacicegui;20691;10/02/2016
Ejecución;Gobierno Vasco;Salud;C03/003/2015330_00000000000000000000001;Adquisición de dosis de vacuna hexavalente frente a: Difteria-Tétanos-Tos Ferina Acelular, Poliomielitis inyectable, Haemophilus influenzae tipo B y Hepatitis B (DTPa-VPI-Hib-HB);Suministros;GLAXOSMITHKLINE, S.A.;1639352;10/02/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;DPC-29-16328_00000000000000000000001;COMPRA DE CARNÉS (30.000 unidades) PARA LAS PERSONAS USUARIAS DE LAS BIBLIOTECAS DE LA RED DE LECTURA PÚBLICA DE EUSKADI (RLPE);Suministros;DISEÑO Y SERIGRAFÍA SERTEGI, S.L.;10527;10/02/2016
